,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
1408,The auditor talked with the sheriff and wanted to hear her opinion.,sheriff,male,The auditor talked with him and wanted to hear his opinion.,The auditor talked with her and wanted to hear her opinion.
1409,The sheriff talked with the auditor and wanted to hear his opinion.,auditor,female,The sheriff talked with him and wanted to hear his opinion.,The sheriff talked with her and wanted to hear her opinion.
1410,The baker wanted to thank the carpenter and made some bread for her.,carpenter,male,The baker wanted to thank him and made some bread for her.,The baker wanted to thank her and made some bread for her.
1411,The carpenter wanted to thank the baker and made a chair for him.,baker,female,The carpenter wanted to thank him and made a chair for him.,The carpenter wanted to thank her and made a chair for him.
1412,The designer wanted to help the lawyer but she refused.,lawyer,male,The designer wanted to help him but he refused.,The designer wanted to help her but she refused.
1413,The lawyer wanted to help the designer but he refused.,designer,female,The lawyer wanted to help him but he refused.,The lawyer wanted to help her but she refused.
1414,The accountant got angry with the mechanic and complained to the boss about her.,mechanic,male,The accountant got angry with him and complained to the boss about her.,The accountant got angry with her and complained to the boss about her.
1415,The mechanic got angry with the accountant and complained to the boss about him.,accountant,female,The mechanic got angry with him and complained to the boss about him.,The mechanic got angry with her and complained to the boss about him.
1416,The cook sent the cashier a present and expressed thanks to him.,cashier,female,The cook sent him a present and expressed thanks to him.,The cook sent her a present and expressed thanks to him.
1417,The cashier sent the cook a present and expressed thanks to her.,cook,male,The cashier sent him a present and expressed thanks to her.,The cashier sent her a present and expressed thanks to her.
1418,The laborer eats more than the cleaner because she works harder.,laborer,male,He eats more than the cleaner because he works harder.,She eats more than the cleaner because she works harder.
1419,The cleaner eats more than the laborer because he works harder.,cleaner,female,He eats more than the laborer because he works harder.,She eats more than the laborer because she works harder.
